Company,Branch_name,Branch_id,Coordinates,Address
MOTORALI,ANONAS,HA002,"121.0508938, 14.6315182","#44 K-6TH STREET, CORNER ANONAS ROAD, BARANGAY EAST KAMIAS, DISTRICT III, QUEZON CITY"
MOTORALI,BICUTAN,HB004,"121.0281888, 14.4858321","#85 Big Fella Bldg, Doña Soledad Ave, Parañaque"
MOTORALI,CAUAYAN,HC005,"121.7879219, 16.9166125","WQ8Q+J5V, National Highway, Cauayan City, Isabela"
MOTORALI,GAPAN,HG006,"120.9508017, 15.3128087","8W5W+PHV, Tinio St, Gapan City, Nueva Ecija"
MOTORALI,"HEAD OFFICE",HH001,"121.0603103, 14.5787072","H3H5+3PM, Escriva Dr, San Antonio, Pasig, Metro Manila"
MOTORALI,ILAGAN,HI007,"121.8661406, 17.1253875","4VG8+5F2, Ilagan, Isabela"
MOTORALI,"LA STO. TOMAS",HL014,"121.1488594, 14.1061625","444X+FG9, San Antonio, Santo Tomas, 4234 Batangas"
MOTORALI,PILI,HP008,"123.2780469, 13.5501625","H72H+367, 1, Pili, Camarines Sur"
MOTORALI,ROXAS,HR009,"121.6165862, 17.1177818","4J98+4J8, National Highway, Bantug Street, Roxas, Isabela"
MOTORALI,SANTIAGO,HS010,"121.5388594, 16.6895875","MGQQ+RGQ, 1, Santiago, Isabela"
MOTORALI,SHAW,HS011,"121.0593145, 14.5759494","9, San Buena Building, Shaw Blvd, San Antonio, Pasig City, 1600 Metro Manila"
MOTORALI,TUGUEGARAO,HT012,"121.7277063, 17.6110813","cor Arellano St, Tuguegarao, Cagayan"
MOTORALI,"WEST AVE",HW013,"121.0292769, 14.65403","131 West Avenue, Bungad, 1105 Quezon City, Metro Manila"
MOTORBELLE,ANTIPOLO,MA002,"121.1786225, 14.5814444","6 L. Sumulong Memorial Circle, Antipolo, 1870 Rizal"
MOTORBELLE,"ANGELES CLASSICS",MA060,"120.5879854, 15.1368591","4HMP+C96, Plaridel Street, Angeles, Pampanga"
MOTORBELLE,ANTIQUE,MA069,"121.9411031, 10.7443793","PWVR+Q55, Moscoso Street, San Jose de Buenavista, Antique"
MOTORBELLE,BACOLOD,MB003,"122.9445995, 10.6567665","37 Lacson St, Bacolod, 6100 Negros Occidental"
MOTORBELLE,BACOOR,MB004,"120.95640806321678, 14.451769310025727","#022 San Miguel Commercial Bldg. Gen, Emilio Aguinaldo Hwy, Bacoor, Cavite"
MOTORBELLE,BULAN,MB006,"123.8877344, 12.6649875","MV7Q+X3X, Immaculada Concepcion St, Bulan, Sorsogon"
MOTORBELLE,BALAYAN,MB067,"120.7270802, 13.9631908","GROUND FLOOR M. ALVEZ RENTAL UNIT MI & M2, BRGY. LANATAN, BALAYAN, BATANGAS"
MOTORBELLE,BAYAWAN,MB068,"122.8535755, 9.4498906","Bayawan City, Negros Oriental"
MOTORBELLE,CALAMBA,MC007,"121.152074, 14.212951","Sta. Cecilia Business Center 2, National Highway, Parian, Laguna"
MOTORBELLE,CALAPAN,MC008,"121.3256806, 13.0923098","C52C+FJR, Strong Republic Nautical Hwy, Calapan, 5200 Oriental Mindoro"
MOTORBELLE,CALOOCAN,MC009,"121.027857, 14.601575","137 F. Blumentritt St. Bgry, San Juan"
MOTORBELLE,CDO,MC010,"124.6722816, 8.4801264","A&P Maderazo Building, Butuan - Cagayan de Oro - Iligan Rd, Cagayan de Oro, 9000 Misamis Oriental"
MOTORBELLE,CLASSICS,MC012,"121.0603103, 14.5787072","H3H5+3PM, Escriva Dr, San Antonio, Pasig, Metro Manila"
MOTORBELLE,CARCAR,MC061,"123.6758906, 10.1161125","4M8G+C9R, Theotokos Crossing Gemina's Bldg. Brgy, Carcar City, Cebu"
MOTORBELLE,Dasmariñas,MD011,"120.9391816, 14.3316447","28 Emilio Aguinaldo Hwy, Zone 4, Dasmariñas, 4114 Cavite"
MOTORBELLE,DAVAO,MD013,"125.5790136, 7.0577124","3H5H+3JV, Vilmer Building, Brgy, Talomo, Davao City"
MOTORBELLE,DIPOLOG,MD014,"123.3383342, 8.5798601","888 Quezon Ave, Dipolog City, 7100 Zamboanga del Norte"
MOTORBELLE,DUMAGUETE,MD015,"123.3079219, 9.3038625","8835+G5V, Dumaguete, Negros Oriental"
MOTORBELLE,DIGOS,MD063,"125.3634739, 6.7512147","Q927+C92, 1st Crumb St, Digos City, Davao del Sur"
MOTORBELLE,FAIRVIEW,MF017,"121.0774563, 14.7053601","319D, 79 1118, 1118 Commonwealth Ave, Quezon City, Metro Manila"
MOTORBELLE,GENSAN,MG018,"125.19054636476221, 6.142722208444456","45VR+36M General Santos City (Dadiangas), South Cotabato"
